year,state,county,index_transit_trips,index_transit_trips_quality
2015,01,001,25.6,1
2015,01,003,56.83,1
2015,01,005,66.59,1
2015,01,007,33.72,1
2015,01,009,29.67,1
2015,01,011,59.28,1
2015,01,013,56.83,1
2015,01,015,61.59,1
2015,01,017,33.72,1
2015,01,019,29.67,1
2015,01,021,29.67,1
2015,01,023,66.59,1
2015,01,025,75.21,1
2015,01,027,48.26,1
2015,01,029,29.67,1
2015,01,031,37.54,1
2015,01,033,25.6,1
2015,01,035,73.94,1
2015,01,037,48.26,1
2015,01,039,54.22,1
2015,01,041,72.25,1
2015,01,043,16.25,1
2015,01,045,51.38,1
2015,01,047,70.66,1
2015,01,049,29.67,1
2015,01,051,21,1
2015,01,053,66.59,1
2015,01,055,29.67,1
2015,01,057,51.38,1
2015,01,059,54.22,1
2015,01,061,63.99,1
2015,01,063,77.65,1
2015,01,065,51.38,1
2015,01,067,41.1,1
2015,01,069,25.6,1
2015,01,071,33.72,1
2015,01,073,41.1,1
2015,01,075,66.59,1
2015,01,077,21,1
2015,01,079,25.6,1
2015,01,081,16.25,1
2015,01,083,4.3,1
2015,01,085,56.83,1
2015,01,087,54.22,1
2015,01,089,37.54,1
2015,01,091,66.59,1
2015,01,093,56.83,1
2015,01,095,11.27,1
2015,01,097,72.25,1
2015,01,099,76.38,1
2015,01,101,66.59,1
2015,01,103,11.27,1
2015,01,105,76.38,1
2015,01,107,59.28,1
2015,01,109,51.38,1
2015,01,111,37.54,1
2015,01,113,77.65,1
2015,01,115,16.25,1
2015,01,117,4.3,1
2015,01,119,78.96,1
2015,01,121,29.67,1
2015,01,123,37.54,1
2015,01,125,29.67,1
2015,01,127,25.6,1
2015,01,129,63.99,1
2015,01,131,83.03,1
2015,01,133,48.26,1
2015,02,013,99.52,1
2015,02,016,99.63,1
2015,02,020,94.68,1
2015,02,050,98.98,1
2015,02,060,96.88,1
2015,02,068,98.74,1
2015,02,070,99.04,1
2015,02,090,87.79,1
2015,02,100,95.64,1
2015,02,105,98.46,1
2015,02,110,96.31,1
2015,02,122,94.54,1
2015,02,130,96.75,1
2015,02,150,93.14,1
2015,02,158,99.4,1
2015,02,164,99.08,1
2015,02,170,16.25,1
2015,02,180,99.11,1
2015,02,185,98.82,1
2015,02,188,99.14,1
2015,02,195,86.95,1
2015,02,198,98.03,1
2015,02,220,33.72,1
2015,02,230,97.53,1
2015,02,240,98.58,1
2015,02,261,98.09,1
2015,02,275,96.53,1
2015,02,282,98.95,1
2015,02,290,99.33,1
2015,04,001,89.75,1
2015,04,003,77.65,1
2015,04,005,88.35,1
2015,04,007,59.28,1
2015,04,009,66.59,1
2015,04,011,86.07,1
2015,04,012,78.96,1
2015,04,013,63.99,1
2015,04,015,37.54,1
2015,04,017,84.8,1
2015,04,019,95.88,1
2015,04,021,4.3,1
2015,04,023,68.97,1
2015,04,025,25.6,1
2015,04,027,44.84,1
2015,05,001,51.38,1
2015,05,003,54.22,1
2015,05,005,48.26,1
2015,05,007,11.27,1
2015,05,009,51.38,1
2015,05,011,73.94,1
2015,05,013,73.94,1
2015,05,015,33.72,1
2015,05,017,82.23,1
2015,05,019,54.22,1
2015,05,021,54.22,1
2015,05,023,44.84,1
2015,05,025,68.97,1
2015,05,027,48.26,1
2015,05,029,29.67,1
2015,05,031,29.67,1
2015,05,033,21,1
2015,05,035,54.22,1
2015,05,037,51.38,1
2015,05,039,70.66,1
2015,05,041,81.28,1
2015,05,043,44.84,1
2015,05,045,11.27,1
2015,05,047,61.59,1
2015,05,049,75.21,1
2015,05,051,29.67,1
2015,05,053,33.72,1
2015,05,055,16.25,1
2015,05,057,66.59,1
2015,05,059,51.38,1
2015,05,061,51.38,1
2015,05,063,44.84,1
2015,05,065,72.25,1
2015,05,067,59.28,1
2015,05,069,56.83,1
2015,05,071,44.84,1
2015,05,073,81.28,1
2015,05,075,66.59,1
2015,05,077,84.8,1
2015,05,079,68.97,1
2015,05,081,66.59,1
2015,05,083,61.59,1
2015,05,085,25.6,1
2015,05,087,41.1,1
2015,05,089,66.59,1
2015,05,091,86.95,1
2015,05,093,48.26,1
2015,05,095,81.28,1
2015,05,097,72.25,1
2015,05,099,73.94,1
2015,05,101,63.99,1
2015,05,103,56.83,1
2015,05,105,41.1,1
2015,05,107,78.96,1
2015,05,109,73.94,1
2015,05,111,51.38,1
2015,05,113,61.59,1
2015,05,115,16.25,1
2015,05,117,61.59,1
2015,05,119,73.94,1
2015,05,121,56.83,1
2015,05,123,70.66,1
2015,05,125,21,1
2015,05,127,66.59,1
2015,05,129,70.66,1
2015,05,131,41.1,1
2015,05,133,68.97,1
2015,05,135,76.38,1
2015,05,137,73.94,1
2015,05,139,41.1,1
2015,05,141,70.66,1
2015,05,143,90.59,1
2015,05,145,33.72,1
2015,05,147,77.65,1
2015,05,149,44.84,1
2015,06,001,98.74,1
2015,06,003,66.59,1
2015,06,005,21,1
2015,06,007,86.95,1
2015,06,009,16.25,1
2015,06,011,25.6,1
2015,06,013,86.95,1
2015,06,015,96.2,1
2015,06,017,25.6,1
2015,06,019,96.2,1
2015,06,021,37.54,1
2015,06,023,68.97,1
2015,06,025,4.3,1
2015,06,027,11.27,1
2015,06,029,85.53,1
2015,06,031,76.38,1
2015,06,033,86.07,1
2015,06,035,72.25,1
2015,06,037,99.59,1
