year,state,place,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,03076,all,All,NA,NA
2014,01,03076,race-ethnicity,Black,NA,NA
2014,01,03076,race-ethnicity,Hispanic,NA,NA
2014,01,03076,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,03076,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,07000,all,All,NA,NA
2014,01,07000,race-ethnicity,Black,NA,NA
2014,01,07000,race-ethnicity,Hispanic,NA,NA
2014,01,07000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,07000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,35896,all,All,NA,NA
2014,01,35896,race-ethnicity,Black,NA,NA
2014,01,35896,race-ethnicity,Hispanic,NA,NA
2014,01,35896,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,35896,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,37000,all,All,NA,NA
2014,01,37000,race-ethnicity,Black,NA,NA
2014,01,37000,race-ethnicity,Hispanic,NA,NA
2014,01,37000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,37000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,50000,all,All,NA,NA
2014,01,50000,race-ethnicity,Black,NA,NA
2014,01,50000,race-ethnicity,Hispanic,NA,NA
2014,01,50000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,50000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,51000,all,All,NA,NA
2014,01,51000,race-ethnicity,Black,NA,NA
2014,01,51000,race-ethnicity,Hispanic,NA,NA
2014,01,51000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,51000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,01,77256,all,All,NA,NA
2014,01,77256,race-ethnicity,Black,NA,NA
2014,01,77256,race-ethnicity,Hispanic,NA,NA
2014,01,77256,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,77256,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,02,03000,all,All,NA,NA
2014,02,03000,race-ethnicity,Black,NA,NA
2014,02,03000,race-ethnicity,Hispanic,NA,NA
2014,02,03000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,02,03000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,04,04720,all,All,NA,NA
2014,04,04720,race-ethnicity,Black,NA,NA
2014,04,04720,race-ethnicity,Hispanic,NA,NA
2014,04,04720,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,04,04720,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,04,07940,all,All,NA,NA
2014,04,07940,race-ethnicity,Black,NA,NA
2014,04,07940,race-ethnicity,Hispanic,NA,NA
2014,04,07940,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,04,07940,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,04,12000,all,All,NA,NA
2014,04,12000,race-ethnicity,Black,NA,NA
2014,04,12000,race-ethnicity,Hispanic,NA,NA
2014,04,12000,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,04,12000,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,04,23620,all,All,NA,NA
2014,04,23620,race-ethnicity,Black,NA,NA
2014,04,23620,race-ethnicity,Hispanic,NA,NA
2014,04,23620,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,04,23620,race-ethnicity,"White, Non-Hispanic",NA,NA
2014,04,27400,all,All,NA,NA
2014,04,27400,race-ethnicity,Black,NA,NA
