year,state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,homeless_count,homeless_count_lb,homeless_count_ub,homeless_share,homeless_quality,share_poverty_exposure,share_poverty_exposure_quality
2017,01,03076,all,All,0.75042897,0.55912179,0.94173616,1,29,29,29,0.0033607602,1,NA,NA
2017,01,03076,race-ethnicity,"Black, Non-Hispanic",0.75953454,0.4817355,1.0373336,1,NA,NA,NA,NA,NA,NA,NA
2017,01,03076,race-ethnicity,Hispanic,-0.055423349,-3.9508104,3.8399637,3,NA,NA,NA,NA,NA,NA,NA
2017,01,03076,race-ethnicity,"White, Non-Hispanic",0.83955163,0.67786527,1.001238,1,NA,NA,NA,NA,NA,NA,NA
2017,01,07000,all,All,0.79033613,0.68369627,0.89697599,1,493,493,493,0.0082274992,1,NA,NA
2017,01,07000,race-ethnicity,"Black, Non-Hispanic",0.84359992,0.75965679,0.9275431,1,NA,NA,NA,NA,NA,NA,NA
2017,01,07000,race-ethnicity,Hispanic,0.74524736,0.40009114,1.0904037,1,NA,NA,NA,NA,NA,NA,NA
2017,01,07000,race-ethnicity,"White, Non-Hispanic",0.72378677,0.62380201,0.82377148,1,NA,NA,NA,NA,NA,NA,NA
2017,01,35896,all,All,1.0886145,0.94067645,1.2365525,1,62,62,62,0.0044200472,1,NA,NA
2017,01,35896,race-ethnicity,"Black, Non-Hispanic",1.0474761,0.83767962,1.2572725,1,NA,NA,NA,NA,NA,NA,NA
2017,01,35896,race-ethnicity,Hispanic,1.3329573,0.90045017,1.7654643,1,NA,NA,NA,NA,NA,NA,NA
2017,01,35896,race-ethnicity,"White, Non-Hispanic",1.0988245,0.96969867,1.2279503,1,NA,NA,NA,NA,NA,NA,NA
2017,01,37000,all,All,0.81618953,0.69588363,0.93649542,1,338,338,338,0.0078092511,1,NA,NA
2017,01,37000,race-ethnicity,"Black, Non-Hispanic",0.74144661,0.59484082,0.88805234,1,NA,NA,NA,NA,NA,NA,NA
2017,01,37000,race-ethnicity,Hispanic,0.85397321,0.5053367,1.2026097,1,NA,NA,NA,NA,NA,NA,NA
2017,01,37000,race-ethnicity,"White, Non-Hispanic",0.82921451,0.72152567,0.93690342,1,NA,NA,NA,NA,NA,NA,NA
2017,01,50000,all,All,0.77185768,0.69671828,0.84699708,1,6521,6520,6521,0.11745951,1,NA,NA
2017,01,50000,race-ethnicity,"Black, Non-Hispanic",0.80744165,0.73810256,0.87678075,1,NA,NA,NA,NA,NA,NA,NA
2017,01,50000,race-ethnicity,Hispanic,0.7279256,0.39214489,1.0637063,1,NA,NA,NA,NA,NA,NA,NA
