year,state,county,state_name,county_name,subgroup,subgroup_type,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,01,001,Alabama,Autauga County,All,all,1.406,1.4756,1.584,Weak,Weak,Weak,0.6728,0.7616,0.9197,Weak,Weak,Weak
2014,01,001,Alabama,Autauga County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,Owner,tenure,NA,1.9231,1.9075,NA,Weak,Weak,NA,0.8801,0.9715,NA,Weak,Weak
2014,01,003,Alabama,Baldwin County,All,all,1.3581,1.4458,1.5537,Strong,Strong,Strong,0.5762,0.7815,1.0798,Strong,Strong,Strong
2014,01,003,Alabama,Baldwin County,Renter,tenure,0.669,1.165,1.7046,Strong,Strong,Strong,0.5596,0.9597,1.467,Strong,Strong,Strong
2014,01,003,Alabama,Baldwin County,Owner,tenure,1.9252,1.6326,1.4698,Strong,Strong,Strong,0.5898,0.663,0.8645,Strong,Strong,Strong
2014,01,005,Alabama,Barbour County,All,all,1.8497,1.8497,1.9293,Weak,Weak,Weak,1.2111,1.2111,1.4835,Weak,Weak,Weak
2014,01,005,Alabama,Barbour County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,Owner,tenure,NA,NA,1.751,NA,NA,Weak,NA,NA,1.0729,NA,NA,Weak
2014,01,007,Alabama,Bibb County,All,all,1.3167,1.3654,1.4068,Weak,Weak,Weak,0.7328,0.9247,1.1158,Weak,Weak,Weak
2014,01,007,Alabama,Bibb County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,Owner,tenure,NA,NA,1.3794,NA,NA,Weak,NA,NA,0.9976,NA,NA,Weak
2014,01,009,Alabama,Blount County,All,all,1.52,1.7813,1.6662,Marginal,Marginal,Marginal,0.7823,0.9426,1.0187,Marginal,Marginal,Marginal
2014,01,009,Alabama,Blount County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,Owner,tenure,2.074,1.979,1.7986,Marginal,Marginal,Marginal,0.8505,0.8442,0.9372,Marginal,Marginal,Marginal
2014,01,011,Alabama,Bullock County,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,All,all,2.3326,2.3326,2.4083,Weak,Weak,Weak,1.338,1.338,1.5708,Weak,Weak,Weak
2014,01,013,Alabama,Butler County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,Owner,tenure,NA,NA,2.7553,NA,NA,Weak,NA,NA,1.5637,NA,NA,Weak
2014,01,015,Alabama,Calhoun County,All,all,1.5706,1.5715,1.5796,Strong,Strong,Strong,0.7222,0.7555,0.9165,Strong,Strong,Strong
2014,01,015,Alabama,Calhoun County,Renter,tenure,0.7823,0.8558,1.1066,Strong,Strong,Strong,0.5844,0.6666,0.8972,Strong,Strong,Strong
2014,01,015,Alabama,Calhoun County,Owner,tenure,2.7679,2.6999,2.0426,Strong,Strong,Strong,0.9315,0.8957,0.9353,Strong,Strong,Strong
2014,01,017,Alabama,Chambers County,All,all,1.6241,1.6241,1.8489,Weak,Weak,Weak,0.7412,0.7412,1.1658,Weak,Weak,Weak
2014,01,017,Alabama,Chambers County,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,Owner,tenure,NA,NA,2.075,NA,NA,Weak,NA,NA,1.0015,NA,NA,Weak
2014,01,019,Alabama,Cherokee County,All,all,1.7829,1.8071,1.9824,Weak,Weak,Weak,0.7646,0.8476,1.3533,Weak,Weak,Weak
