geographicarea,cityname,city,statename,state_abbr,population2020,statefp,placefp,statefips,placefips,stateplacefp
"Auburn city, Alabama",Auburn city,Auburn,Alabama,AL,76000,1,3076,01,03076,0103076
"Birmingham city, Alabama",Birmingham city,Birmingham,Alabama,AL,200763,1,7000,01,07000,0107000
"Hoover city, Alabama",Hoover city,Hoover,Alabama,AL,92651,1,35896,01,35896,0135896
"Huntsville city, Alabama",Huntsville city,Huntsville,Alabama,AL,214372,1,37000,01,37000,0137000
"Mobile city, Alabama",Mobile city,Mobile,Alabama,AL,186833,1,50000,01,50000,0150000
"Montgomery city, Alabama",Montgomery city,Montgomery,Alabama,AL,200567,1,51000,01,51000,0151000
"Tuscaloosa city, Alabama",Tuscaloosa city,Tuscaloosa,Alabama,AL,99706,1,77256,01,77256,0177256
"Anchorage municipality, Alaska",Anchorage municipality,Anchorage,Alaska,AK,291247,2,3000,02,03000,0203000
"Avondale city, Arizona",Avondale city,Avondale,Arizona,AZ,89490,4,4720,04,04720,0404720
"Buckeye city, Arizona",Buckeye city,Buckeye,Arizona,AZ,91154,4,7940,04,07940,0407940
"Chandler city, Arizona",Chandler city,Chandler,Arizona,AZ,276330,4,12000,04,12000,0412000
"Flagstaff city, Arizona",Flagstaff city,Flagstaff,Arizona,AZ,76781,4,23620,04,23620,0423620
"Gilbert town, Arizona",Gilbert town,Gilbert,Arizona,AZ,268302,4,27400,04,27400,0427400
"Glendale city, Arizona",Glendale city,Glendale,Arizona,AZ,248345,4,27820,04,27820,0427820
"Goodyear city, Arizona",Goodyear city,Goodyear,Arizona,AZ,95003,4,28380,04,28380,0428380
"Mesa city, Arizona",Mesa city,Mesa,Arizona,AZ,504500,4,46000,04,46000,0446000
"Peoria city, Arizona",Peoria city,Peoria,Arizona,AZ,191052,4,54050,04,54050,0454050
"Phoenix city, Arizona",Phoenix city,Phoenix,Arizona,AZ,1607739,4,55000,04,55000,0455000
"Scottsdale city, Arizona",Scottsdale city,Scottsdale,Arizona,AZ,241488,4,65000,04,65000,0465000
"Surprise city, Arizona",Surprise city,Surprise,Arizona,AZ,143261,4,71510,04,71510,0471510
"Tempe city, Arizona",Tempe city,Tempe,Arizona,AZ,179765,4,73000,04,73000,0473000
"Tucson city, Arizona",Tucson city,Tucson,Arizona,AZ,541349,4,77000,04,77000,0477000
"Yuma city, Arizona",Yuma city,Yuma,Arizona,AZ,95814,4,85540,04,85540,0485540
"Fayetteville city, Arkansas",Fayetteville city,Fayetteville,Arkansas,AR,93582,5,23290,05,23290,0523290
"Fort Smith city, Arkansas",Fort Smith city,Fort Smith,Arkansas,AR,89177,5,24550,05,24550,0524550
"Jonesboro city, Arkansas",Jonesboro city,Jonesboro,Arkansas,AR,78524,5,35710,05,35710,0535710
"Little Rock city, Arkansas",Little Rock city,Little Rock,Arkansas,AR,202514,5,41000,05,41000,0541000
"Springdale city, Arkansas",Springdale city,Springdale,Arkansas,AR,87441,5,66080,05,66080,0566080
"Alameda city, California",Alameda city,Alameda,California,CA,78611,6,562,06,00562,0600562
"Alhambra city, California",Alhambra city,Alhambra,California,CA,83001,6,884,06,00884,0600884
"Anaheim city, California",Anaheim city,Anaheim,California,CA,347015,6,2000,06,02000,0602000
"Antioch city, California",Antioch city,Antioch,California,CA,115360,6,2252,06,02252,0602252
"Apple Valley town, California",Apple Valley town,Apple Valley,California,CA,75913,6,2364,06,02364,0602364
"Bakersfield city, California",Bakersfield city,Bakersfield,California,CA,402907,6,3526,06,03526,0603526
"Bellflower city, California",Bellflower city,Bellflower,California,CA,79298,6,4982,06,04982,0604982
"Berkeley city, California",Berkeley city,Berkeley,California,CA,119693,6,6000,06,06000,0606000
"Buena Park city, California",Buena Park city,Buena Park,California,CA,84173,6,8786,06,08786,0608786
"Burbank city, California",Burbank city,Burbank,California,CA,107563,6,8954,06,08954,0608954
"Carlsbad city, California",Carlsbad city,Carlsbad,California,CA,114972,6,11194,06,11194,0611194
"Carson city, California",Carson city,Carson,California,CA,95367,6,11530,06,11530,0611530
"Chico city, California",Chico city,Chico,California,CA,102849,6,13014,06,13014,0613014
"Chino city, California",Chino city,Chino,California,CA,90989,6,13210,06,13210,0613210
"Chino Hills city, California",Chino Hills city,Chino Hills,California,CA,78573,6,13214,06,13214,0613214
"Chula Vista city, California",Chula Vista city,Chula Vista,California,CA,276025,6,13392,06,13392,0613392
"Citrus Heights city, California",Citrus Heights city,Citrus Heights,California,CA,88018,6,13588,06,13588,0613588
"Clovis city, California",Clovis city,Clovis,California,CA,120254,6,14218,06,14218,0614218
"Compton city, California",Compton city,Compton,California,CA,95959,6,15044,06,15044,0615044
"Concord city, California",Concord city,Concord,California,CA,125389,6,16000,06,16000,0616000
"Corona city, California",Corona city,Corona,California,CA,157265,6,16350,06,16350,0616350
"Costa Mesa city, California",Costa Mesa city,Costa Mesa,California,CA,111915,6,16532,06,16532,0616532
"Daly City city, California",Daly City city,Daly City,California,CA,104940,6,17918,06,17918,0617918
"Downey city, California",Downey city,Downey,California,CA,114558,6,19766,06,19766,0619766
"El Cajon city, California",El Cajon city,El Cajon,California,CA,106286,6,21712,06,21712,0621712
"Elk Grove city, California",Elk Grove city,Elk Grove,California,CA,177145,6,22020,06,22020,0622020
"El Monte city, California",El Monte city,El Monte,California,CA,109554,6,22230,06,22230,0622230
"Escondido city, California",Escondido city,Escondido,California,CA,151271,6,22804,06,22804,0622804
"Fairfield city, California",Fairfield city,Fairfield,California,CA,119793,6,23182,06,23182,0623182
"Folsom city, California",Folsom city,Folsom,California,CA,79036,6,24638,06,24638,0624638
"Fontana city, California",Fontana city,Fontana,California,CA,208766,6,24680,06,24680,0624680
"Fremont city, California",Fremont city,Fremont,California,CA,232084,6,26000,06,26000,0626000
"Fresno city, California",Fresno city,Fresno,California,CA,542161,6,27000,06,27000,0627000
"Fullerton city, California",Fullerton city,Fullerton,California,CA,143367,6,28000,06,28000,0628000
"Garden Grove city, California",Garden Grove city,Garden Grove,California,CA,172144,6,29000,06,29000,0629000
"Glendale city, California",Glendale city,Glendale,California,CA,196841,6,30000,06,30000,0630000
"Hawthorne city, California",Hawthorne city,Hawthorne,California,CA,88255,6,32548,06,32548,0632548
"Hayward city, California",Hayward city,Hayward,California,CA,163635,6,33000,06,33000,0633000
"Hemet city, California",Hemet city,Hemet,California,CA,89855,6,33182,06,33182,0633182
"Hesperia city, California",Hesperia city,Hesperia,California,CA,100038,6,33434,06,33434,0633434
"Huntington Beach city, California",Huntington Beach city,Huntington Beach,California,CA,199140,6,36000,06,36000,0636000
"Indio city, California",Indio city,Indio,California,CA,89127,6,36448,06,36448,0636448
"Inglewood city, California",Inglewood city,Inglewood,California,CA,107961,6,36546,06,36546,0636546
"Irvine city, California",Irvine city,Irvine,California,CA,305313,6,36770,06,36770,0636770
"Jurupa Valley city, California",Jurupa Valley city,Jurupa Valley,California,CA,105107,6,37692,06,37692,0637692
"Lake Forest city, California",Lake Forest city,Lake Forest,California,CA,86070,6,39496,06,39496,0639496
"Lakewood city, California",Lakewood city,Lakewood,California,CA,82727,6,39892,06,39892,0639892
"Lancaster city, California",Lancaster city,Lancaster,California,CA,173305,6,40130,06,40130,0640130
"Livermore city, California",Livermore city,Livermore,California,CA,88614,6,41992,06,41992,0641992
"Long Beach city, California",Long Beach city,Long Beach,California,CA,466302,6,43000,06,43000,0643000
"Los Angeles city, California",Los Angeles city,Los Angeles,California,CA,3893986,6,44000,06,44000,0644000
"Manteca city, California",Manteca city,Manteca,California,CA,83678,6,45484,06,45484,0645484
"Menifee city, California",Menifee city,Menifee,California,CA,102654,6,46842,06,46842,0646842
"Merced city, California",Merced city,Merced,California,CA,86141,6,46898,06,46898,0646898
"Milpitas city, California",Milpitas city,Milpitas,California,CA,80275,6,47766,06,47766,0647766
"Mission Viejo city, California",Mission Viejo city,Mission Viejo,California,CA,93759,6,48256,06,48256,0648256
"Modesto city, California",Modesto city,Modesto,California,CA,218471,6,48354,06,48354,0648354
"Moreno Valley city, California",Moreno Valley city,Moreno Valley,California,CA,208865,6,49270,06,49270,0649270
"Mountain View city, California",Mountain View city,Mountain View,California,CA,82592,6,49670,06,49670,0649670
"Murrieta city, California",Murrieta city,Murrieta,California,CA,111050,6,50076,06,50076,0650076
"Napa city, California",Napa city,Napa,California,CA,79276,6,50258,06,50258,0650258
"Newport Beach city, California",Newport Beach city,Newport Beach,California,CA,85411,6,51182,06,51182,0651182
"Norwalk city, California",Norwalk city,Norwalk,California,CA,102910,6,52526,06,52526,0652526
"Oakland city, California",Oakland city,Oakland,California,CA,439349,6,53000,06,53000,0653000
"Oceanside city, California",Oceanside city,Oceanside,California,CA,174352,6,53322,06,53322,0653322
"Ontario city, California",Ontario city,Ontario,California,CA,175518,6,53896,06,53896,0653896
"Orange city, California",Orange city,Orange,California,CA,138992,6,53980,06,53980,0653980
"Oxnard city, California",Oxnard city,Oxnard,California,CA,202185,6,54652,06,54652,0654652
"Palmdale city, California",Palmdale city,Palmdale,California,CA,169913,6,55156,06,55156,0655156
"Pasadena city, California",Pasadena city,Pasadena,California,CA,138679,6,56000,06,56000,0656000
"Perris city, California",Perris city,Perris,California,CA,78786,6,56700,06,56700,0656700
