year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,03076,all,All,0.903913260219342,0.8660863518112902,0.9417401686273938,2
2014,01,03076,race-ethnicity,"Black, Non-Hispanic",0.8371628371628372,0.755800254545727,0.9185254197799476,2
2014,01,03076,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,03076,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,03076,race-ethnicity,"White, Non-Hispanic",0.9535874439461884,0.9161175839372028,0.9910573039551738,2
2014,01,07000,all,All,0.8577536273513943,0.7927062381808307,0.9228010165219578,3
2014,01,07000,race-ethnicity,"Black, Non-Hispanic",0.8072025312438255,0.7170581176789291,0.8973469448087218,3
2014,01,07000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,07000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,07000,race-ethnicity,"White, Non-Hispanic",0.9482321999773564,0.88906753737107,1,3
2014,01,35896,all,All,0.9224801816903516,0.8868928344565398,0.9580675289241636,3
2014,01,35896,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,01,35896,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,35896,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,35896,race-ethnicity,"White, Non-Hispanic",0.940408015844771,0.9052176575562522,0.9755983741332898,3
2014,01,37000,all,All,0.941358039056653,0.9121284529860074,0.9705876251272988,3
2014,01,37000,race-ethnicity,"Black, Non-Hispanic",0.9604299646476602,0.9267677837506614,0.994092145544659,3
2014,01,37000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,37000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,37000,race-ethnicity,"White, Non-Hispanic",0.929320421322488,0.8782587629030073,0.9803820797419688,3
2014,01,50000,all,All,0.7770815018549055,0.693872639941909,0.8602903637679021,3
2014,01,50000,race-ethnicity,"Black, Non-Hispanic",0.7500538944971608,0.6442695577062927,0.8558382312880288,3
2014,01,50000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,50000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,50000,race-ethnicity,"White, Non-Hispanic",0.8124469911949395,0.6781741460222903,0.9467198363675886,3
2014,01,51000,all,All,0.83201797954026,0.7732724924051706,0.8907634666753494,3
2014,01,51000,race-ethnicity,"Black, Non-Hispanic",0.7872681032720996,0.6957579182407878,0.8787782883034114,3
2014,01,51000,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,51000,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,51000,race-ethnicity,"White, Non-Hispanic",0.921294244172574,0.8669651196913778,0.97562336865377,3
2014,01,77256,all,All,0.9370862911736448,0.903253031241537,0.9709195511057528,2
2014,01,77256,race-ethnicity,"Black, Non-Hispanic",0.8148161385673944,0.6955949662676975,0.9340373108670914,2
2014,01,77256,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,01,77256,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,01,77256,race-ethnicity,"White, Non-Hispanic",0.9820760350872708,0.9654602153744444,0.9986918548000974,2
2014,02,03000,all,All,0.8471292351389734,0.7835667762649239,0.910691694013023,2
2014,02,03000,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,02,03000,race-ethnicity,Hispanic,0.9098196392785572,0.7980630767360508,1,2
2014,02,03000,race-ethnicity,Other Races and Ethnicities,0.7407544378698225,0.6099098224510906,0.8715990532885545,2
2014,02,03000,race-ethnicity,"White, Non-Hispanic",0.8852492789451998,0.8113604051973314,0.959138152693068,2
2014,04,04720,all,All,0.8520169304891371,0.7659599676730855,0.9380738933051886,2
2014,04,04720,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,04,04720,race-ethnicity,Hispanic,0.8579882334297534,0.7324258009020147,0.983550665957492,2
2014,04,04720,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,04,04720,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA
2014,04,07940,all,All,0.8266884063128458,0.722097903670708,0.9312789089549836,2
2014,04,07940,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,04,07940,race-ethnicity,Hispanic,NA,NA,NA,NA
2014,04,07940,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA
2014,04,07940,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA
2014,04,12000,all,All,0.8793641669964982,0.8380493054454496,0.9206790285475468,3
2014,04,12000,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA
2014,04,12000,race-ethnicity,Hispanic,0.8056191696278872,0.7063010057629843,0.90493733349279,3
2014,04,12000,race-ethnicity,Other Races and Ethnicities,0.867366619008604,0.7389594304896545,0.9957738075275536,3
2014,04,12000,race-ethnicity,"White, Non-Hispanic",0.930797794856884,0.8838353714595403,0.977760218254228,3
2014,04,23620,all,All,0.935063450325826,0.9056102410395254,0.9645166596121264,3
